Player,Tm,Age,Pos,G,GS,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,4QC,GWD,Rush_Att,Rush_Yds,Rush_TD,Tgt,Rec,Rec_Yds,Rec_TD,Fmb,Pro_Bowl
Jaylen Samuels,PIT,23,RB,14,4,4.0,5.0,35.0,0.0,1.0,0.0,0.0,66.0,175.0,1.0,57.0,47.0,305.0,1.0,1.0,False
James White,NWE,27,RB,15,1,1.0,1.0,35.0,0.0,0.0,0.0,0.0,67.0,263.0,1.0,95.0,72.0,645.0,5.0,1.0,False
Alvin Kamara,NOR,24,RB,14,9,1.0,1.0,13.0,0.0,0.0,0.0,0.0,171.0,797.0,5.0,97.0,81.0,533.0,1.0,4.0,True
Kenjon Barner,ATL,30,RB,14,0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Christian McCaffrey,CAR,23,RB,16,16,0.0,2.0,0.0,0.0,0.0,0.0,0.0,287.0,1387.0,15.0,142.0,116.0,1005.0,4.0,1.0,True
Bilal Powell,NYJ,31,RB,13,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,59.0,229.0,0.0,12.0,7.0,33.0,0.0,0.0,False
Derrick Henry,TEN,25,RB,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,1540.0,16.0,24.0,18.0,206.0,2.0,5.0,True
Nick Chubb,CLE,24,RB,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,1494.0,8.0,49.0,36.0,278.0,0.0,3.0,True
Ezekiel Elliott,DAL,24,RB,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,1357.0,12.0,71.0,54.0,420.0,2.0,3.0,True
Chris Carson,SEA,25,RB,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,1230.0,7.0,47.0,37.0,266.0,2.0,7.0,False
Leonard Fournette,JAX,24,RB,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,1152.0,3.0,100.0,76.0,522.0,0.0,1.0,False
Josh Jacobs,OAK,21,RB,13,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,1150.0,7.0,27.0,20.0,166.0,0.0,1.0,False
Joe Mixon,CIN,23,RB,16,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,1137.0,5.0,45.0,35.0,287.0,3.0,0.0,False
Dalvin Cook,MIN,24,RB,14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,1135.0,13.0,63.0,53.0,519.0,0.0,4.0,True
Marlon Mack,IND,23,RB,14,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,1091.0,8.0,17.0,14.0,82.0,0.0,0.0,False
Aaron Jones,GNB,25,RB,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,1084.0,16.0,68.0,49.0,474.0,3.0,3.0,False
Carlos Hyde,HOU,29,RB,16,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,1070.0,6.0,16.0,10.0,42.0,0.0,4.0,False
Mark Ingram,BAL,30,RB,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,1018.0,10.0,29.0,26.0,247.0,5.0,2.0,True
