Player,Tm,Age,Pos,G,GS,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,4QC,GWD,Rush_Att,Rush_Yds,Rush_TD,Tgt,Rec,Rec_Yds,Rec_TD,Fmb,Pro_Bowl
Andrew Beck,DEN,23,TE,16,6,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Jonnu Smith,TEN,24,TE,16,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,78.0,0.0,44.0,35.0,439.0,3.0,0.0,False
Derek Carrier,OAK,29,TE,16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,0.0,19.0,13.0,108.0,1.0,0.0,False
George Kittle,SFO,26,TE,14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,22.0,0.0,107.0,85.0,1053.0,5.0,1.0,True
Dawson Knox,BUF,23,TE,15,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,50.0,28.0,388.0,2.0,0.0,False
Evan Engram,NYG,25,TE,8,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,68.0,44.0,467.0,3.0,0.0,False
Will Dissly,SEA,23,TE,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,27.0,23.0,262.0,4.0,1.0,False
Darren Waller,OAK,27,TE,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,117.0,90.0,1145.0,3.0,1.0,False
Travis Kelce,KAN,30,TE,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,136.0,97.0,1229.0,5.0,1.0,True
Vance McDonald,PIT,29,TE,14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,55.0,38.0,273.0,3.0,1.0,False
Trevon Wesco,NYJ,24,TE,16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,47.0,0.0,0.0,False
Gerald Everett,LAR,25,TE,13,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,60.0,37.0,408.0,2.0,0.0,False
Ryan Griffin,TAM,30,TE,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Noah Fant,DEN,22,TE,16,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-12.0,0.0,66.0,40.0,562.0,3.0,1.0,False
Zach Ertz,PHI,29,TE,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,88.0,916.0,6.0,1.0,True
Mark Andrews,BAL,23,TE,15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,64.0,852.0,10.0,2.0,True
Austin Hooper,ATL,25,TE,13,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,75.0,787.0,6.0,0.0,True
Tyler Higbee,LAR,26,TE,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,69.0,734.0,3.0,0.0,False
Jared Cook,NOR,32,TE,14,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,43.0,705.0,9.0,0.0,True
Hunter Henry,LAC,25,TE,12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,55.0,652.0,5.0,1.0,False
Dallas Goedert,PHI,24,TE,15,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,58.0,607.0,5.0,2.0,False
Greg Olsen,CAR,34,TE,14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,52.0,597.0,2.0,0.0,False
Mike Gesicki,MIA,24,TE,16,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,51.0,570.0,5.0,1.0,False
Jason Witten,DAL,37,TE,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,63.0,529.0,4.0,1.0,False
O.J. Howard,TAM,25,TE,14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,34.0,459.0,1.0,1.0,False
Jack Doyle,IND,29,TE,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,43.0,448.0,4.0,1.0,True
Jimmy Graham,GNB,33,TE,16,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,38.0,447.0,3.0,1.0,False
Tyler Eifert,CIN,29,TE,16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,43.0,436.0,3.0,0.0,False
Jordan Akins,HOU,27,TE,16,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,36.0,418.0,2.0,0.0,False
Eric Ebron,IND,26,TE,11,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,31.0,375.0,3.0,0.0,False
Kyle Rudolph,MIN,30,TE,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,39.0,367.0,6.0,0.0,False
T.J. Hockenson,DET,22,TE,12,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,32.0,367.0,2.0,0.0,False
Blake Jarwin,DAL,25,TE,16,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,31.0,365.0,3.0,1.0,False
Jacob Hollister,SEA,26,TE,11,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,41.0,349.0,3.0,0.0,False
Hayden Hurst,BAL,26,TE,16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,30.0,349.0,2.0,0.0,False
